1,"1"" BASE (WS)",0,"1"" BASE","1"" BASE (WS",source,,,material,0
2,"1"" MINUS",0,"1"" MINUS",,,,,material,0
3,AGLIME (BASEROCK),0,AGLIME,AGLIME (BASEROCK,source,,,material,0
4,SHINGLES,0,SHINGLES,,,,,material,0
5,HOURLY (MILL),0,HOURLY,HOURLY (MILL,hourly_context,,,hourly_family,0
6,"1"" MINUS (WS)",0,"1"" MINUS","1"" MINUS (WS",source,,,material,0
7,"1"" CLEAN (CC)",0,"1"" CLEAN","1"" CLEAN (CC",source,,,material,0
8,SAND (CERTAINTEED),0,SAND,SAND (CERTAINTEED,source,,,material,0
9,"1"" MINUS BROWN (ARAB)",0,"1"" MINUS BROWN","1"" MINUS BROWN (ARAB",source,,,material,0
10,"1/4"" MINUS (WS)",0,"1/4"" MINUS","1/4"" MINUS (WS",source,,,material,0
11,"2"" CLEAN (WS)",0,"2"" CLEAN","2"" CLEAN (WS",source,,,material,0
12,"1"" MINUS STOCKPILE",0,"1"" MINUS STOCKPILE",,,,,material,0
13,"1/2"" MINUS (WS)",0,"1/2"" MINUS","1/2"" MINUS (WS",source,,,material,0
14,"1"" CLEAN (DEXTER)",0,"1"" CLEAN","1"" CLEAN (DEXTER",source,,,material,0
15,TOPSOIL,0,TOPSOIL,,,,,material,0
16,"1"" BASE (CQ)",0,"1"" BASE","1"" BASE (CQ",source,,,material,0
17,"1"" CLEAN (WS)",0,"1"" CLEAN","1"" CLEAN (WS",source,,,material,0
18,ROCK,0,ROCK,,,,,material,0
19,"2 2"" MINUS (WS)",0,"2 2"" MINUS","2 2"" MINUS (WS",source,,,material,0
20,"2"" MINUS (WS)",0,"2"" MINUS","2"" MINUS (WS",source,,,material,0
21,CONCRETE SAND,0,CONCRETE SAND,,,,,material,0
22,RED LIME,0,RED LIME,,,,,material,0
23,"1"" MINUS (CC)",0,"1"" MINUS","1"" MINUS (CC",source,,,material,0
24,"1/2"" MINUS",0,"1/2"" MINUS",,,,,material,0
25,"1"" CLEAN",0,"1"" CLEAN",,,,,material,0
26,"1"" CLEAN (STOCKPILE)",0,"1"" CLEAN","1"" CLEAN (STOCKPILE",source,,,material,0
27,"1"" CLEAN (SHOP)",0,"1"" CLEAN","1"" CLEAN (SHOP",source,,,material,0
28,SHINGLES (PEACHSTREET),0,SHINGLES,SHINGLES (PEACHSTREET,source,,,material,0
