38,ASPHALT,ASPHALT,,,,,30751
6,"1"" MINUS (WS)","1"" MINUS","1"" MINUS (WS",source,,,1698
33,HOURLY (ASPHALT),HOURLY,HOURLY (ASPHALT,hourly_context,,,1396
42,WAITING TIME,WAITING TIME,,,,,1266
5,HOURLY (MILL),HOURLY,HOURLY (MILL,hourly_context,,,1227
409,ASPHALT SAND (BRENDA KAY),ASPHALT SAND,ASPHALT SAND (BRENDA KAY,source,,,1146
116,ASPHALT (FRUITLAND),ASPHALT,ASPHALT (FRUITLAND,source,,,1050
48,HOURLY,HOURLY,,,,,943
37,DIRT HAULING,DIRT HAULING,,,,,898
437,"1/2"" CLEAN (ICM-DONIPHAN)","1/2"" CLEAN","1/2"" CLEAN (ICM-DONIPHAN",source,,,876
461,SURF. LEVELING,SURF. LEVELING,,,,,833
17,"1"" CLEAN (WS)","1"" CLEAN","1"" CLEAN (WS",source,,,790
63,ASPHALT (ROBERTSON),ASPHALT,ASPHALT (ROBERTSON,source,,,555
448,SERF LEVELING (FRUITLAND),SERF LEVELING,SERF LEVELING (FRUITLAND,source,,,552
508,"1"" WASHED GRAVEL (ICM DONIPHAN)","1"" WASHED GRAVEL","1"" WASHED GRAVEL (ICM DONIPHAN",source,,,446
282,WASHED SAND (DONIPHAN),WASHED SAND,WASHED SAND (DONIPHAN,source,,,418
218,"1"" BASE (ARAB)","1"" BASE","1"" BASE (ARAB",source,,,415
336,SCREENING (DONIPHAN),SCREENING,SCREENING (DONIPHAN,source,,,393
338,SCREENINGS (DONIPHAN),SCREENINGS,SCREENINGS (DONIPHAN,source,,,393
134,AGLIME (HEARTLAND),AGLIME,AGLIME (HEARTLAND,source,,,387
393,"3/4"" CLEAN (BLUEWING-PB)","3/4"" CLEAN","3/4"" CLEAN (BLUEWING-PB",source,,,373
307,"1"" CLN (ICM-DONIPHAN)","1"" CLN","1"" CLN (ICM-DONIPHAN",source,,,351
3,AGLIME (BASEROCK),AGLIME,AGLIME (BASEROCK,source,,,340
147,TYPE 1/5 BASE (WS),TYPE 1/5 BASE,TYPE 1/5 BASE (WS,source,,,332
130,HOURLY (ROCK),HOURLY,HOURLY (ROCK,hourly_context,,,330
494,ASPHALT (ROBERTSON),ASPHALT,ASPHALT (ROBERTSON,source,,,318
315,"1/2"" CLEAN (DONIPHAN)","1/2"" CLEAN","1/2"" CLEAN (DONIPHAN",source,,,299
20,"2"" MINUS (WS)","2"" MINUS","2"" MINUS (WS",source,,,296
138,RAP,RAP,,,,,294
465,"1/2"" MINUS (ICM-Doniphan)","1/2"" MINUS","1/2"" MINUS (ICM-Doniphan",source,,,288
159,"1"" WHITE COMM BASE (WS)","1"" WHITE COMM BASE","1"" WHITE COMM BASE (WS",source,,,274
515,"3/4"" CLEAN (ICM-DONIPHAN)","3/4"" CLEAN","3/4"" CLEAN (ICM-DONIPHAN",source,,,251
386,TYPE 5 BASE (CAPITAL),TYPE 5 BASE,TYPE 5 BASE (CAPITAL,source,,,249
15,TOPSOIL,TOPSOIL,,,,,231
