ProposedBaseName,LegacyVariantCount
ASPHALT,16
1" MINUS,16
MILLING,9
1/2" CLEAN,8
SURFACE LEVELING,2
WAITING TIME,1
ASPHALT SAND,3
AGLIME,15
DIRT,8
1" CLEAN,11
GENERAL,2
3/4" CLEAN,5
1/2" MINUS,8
1" BASE,10
TYPE 1/5 BASE,4
1" WASHED GRAVEL,1
SCREENINGS,4
WASHED SAND,1
ROCK,9
RAP,5
SCREENING,1
2" MINUS,8
1" CLN,1
TRAP SAND,2
TYPE 5 BASE,2
1" WHITE COMM BASE,1
3/8" CLEAN,5
WORK TIME,3
2" CLEAN,6
TOPSOIL,3
3" MINUS,5
MFG SAND,1
TENDER TRLR,1
CLASS 7 BASE,1
TYPE 5,4
TYPE 5 BASE PERRYVILLE,1
3/8" MINUS,1
MORTAR SAND,2
TYPE 1/5,3
TYPE V BASE,1
GABION STONE,4
BIT BASE,1
1/4" MINUS,3
50# RIP RAP,1
HAUL BACK,2
43 1/2"X1/4",1
SHINGLES,7
BEDDING MATERIAL,1
SHOP HOURS,1
ROCK/SHOULDERS,1
RIP RAP #90,2
2 1/2" BASE,2
TYPE 1 BASE,1
SAND,10
RIP RAP #200,2
AG LIME,7
1" WHITE BASE,1
3 3/8"CLEAN,1
PEA GRAVEL,5
3" CLEAN,6
DITCH CHECK,1
1/2" M,2
BLOW SAND,1
RIP RAP #50,2
MOVING PLANT,1
SCREENINGS/TURKEY GRIT,1
RED LIME,4
BUSTED CONCRETE,2
DRIVEWAYS,1
SHOULDERS,1
AG-LIME,1
CLEAN UP,2
1 1/2" CLASS 7,1
EDGE TRTMNT,1
6" MINUS,1
1" SCRAP ROCK,1
HAULING MILLINGS,1
5/8" TRAP,1
CONCRETE SAND,3
ASPHALT & ROCK,1
3/8" PUG ROCK,1
OVERSIZED GRAVEL,1
FUEL,1
2 1/2" LATERAL,2
MAN SAND,3
SHOULDERS/DRIVEWAYS,1
PERMIT,1
ASPHALT/PLANT DOWN,1
JOB 23002.2 ACCIDENT 1000002,1
EDGE TREATMENT,1
