SourceTag,TotalLoadCount,ExampleLegacyDescriptions
WS,5033,1" MINUS (WS) | 1" CLEAN (WS) | TYPE 1/5 BASE (WS)
ICM-DONIPHAN,1818,1/2" CLEAN (ICM-DONIPHAN) | 1" CLN (ICM-DONIPHAN) | 1/2" MINUS (ICM-Doniphan)
FRUITLAND,1740,ASPHALT (FRUITLAND) | SERF LEVELING (FRUITLAND) | BIT BASE (FRUITLAND)
DONIPHAN,1697,WASHED SAND (DONIPHAN) | SCREENING (DONIPHAN) | SCREENINGS (DONIPHAN)
BRENDA KAY,1163,ASPHALT SAND (BRENDA KAY) | CONCRETE SAND (BRENDA KAY) | ASPAHLT SAND (STATE) (BRENDA KAY)
ROBERTSON,873,ASPHALT (ROBERTSON) | ASPHALT (ROBERTSON)
BLUEWING-PB,644,3/4" CLEAN (BLUEWING-PB) | 3/8" MINUS (BLUEWING-PB) | 1/2" CLEAN (BLUEWING-PB)
ARAB,606,1" BASE (ARAB) | 2 1/2" BASE (ARAB) | 1/2" CLEAN (ARAB)
BW,595,CLASS 7 BASE (BW) | TYPE 1/5 BASE (BW) | Bedding Material (BW)
BLUEWING PB,557,3/8" CLEAN (BLUEWING PB) | 1/2" MINUS (BLUEWING PB) | 1" MINUS (BLUEWING PB)
HEARTLAND,461,AGLIME (HEARTLAND) | AG-LIME (HEARTLAND) HAULING & SPREADING | AG LIME (HEARTLAND)
ICM DONIPHAN,446,1" WASHED GRAVEL (ICM DONIPHAN)
CC,437,1" MINUS (CC) | 1" CLEAN (CC) | TYPE 1/5 BASE (CC)
IRON MNT.,349,MFG SAND (IRON MNT.) | 43 1/2"X1/4" (IRON MNT.)
BASEROCK,346,AGLIME (BASEROCK) | 1/2" MINUS (BASEROCK) | 1/2" M (BASEROCK)
CAPITAL,252,TYPE 5 BASE (CAPITAL) | 2" BASE (CAPITAL)
BUTLER,249,TRAP SAND (BUTLER) | 5/8" TRAP (BUTLER) | SAND (BUTLER)
DEXTER,215,MORTAR SAND (DEXTER) | OVERSIZED GRAVEL (DEXTER) | STATE CONCRETE SAND (DEXTER)
SEMO,189,TYPE 1/5 (SEMO) | 1" MINUS (SEMO) | 3" MINUS (SEMO)
FISCHER QUARRY,165,1" MINUS (FISCHER QUARRY) | AG LIME (FISCHER QUARRY)
ICM-W. PLAINS,142,TYPE V BASE (ICM-W. Plains)
IRON MTN,129,TRAP SAND (IRON MTN)
BASE ROCK,114,TYPE 5 (BASE ROCK) | 2" CLEAN (BASE ROCK) | 1" MINUS (BASE ROCK)
VB,104,1" BASE (VB) | TYPE 1/5 BASE (VB)
FARMINGTON,77,3 3/8"CLEAN  (FARMINGTON) | HOURLY (SAND) FARMINGTON | HOURLY (SHINGLES) FARMINGTON
JACKSON QUARRY,72,AGLIME (JACKSON QUARRY)
WEST PLAINS,72,1" BASE (WEST PLAINS) | SHINGLES (WEST PLAINS)
PEACHSTREET,70,SHINGLES (PEACHSTREET)
COLT,67,TYPE 1/5 (COLT)
ICM-ARAB,66,TYPE 5 (ICM-ARAB) | CLAY BASE (ICM-ARAB)
ICM,65,SCREENINGS/TURKEY GRIT (ICM) 1/4" Minus | JAW ROCK (ICM) | TOPSOIL (ICM)
CQ,59,1 1/2" CLASS 7 (CQ) | 1" BASE (CQ) | 90# RIP RAP (CQ)
MANSFIELD,58,TYPE 5 BASE (MANSFIELD)
BASE ROCK FRT.LND.,55,TYPE 5 (BASE ROCK FRT.LND.)
DEXTER SAND,54,PEA GRAVEL (DEXTER SAND)
DELTA,45,ASPHALT (DELTA)
CC-VB,41,1" MINUS (CC-VB) | 2" MINUS (CC-VB)
COLT R & L,36,RED LIME (COLT R & L)
ICM-HOUSTON,33,1" BASE (ICM-Houston) | 1/2" CLEAN (ICM-HOUSTON)
CANE CREEK,28,3/8" PUG ROCK (CANE CREEK) | ROCK (CANE CREEK)
