LegacyID,LegacyDescription,LoadCount,NewBase,NewSource,NewService,ProposedDisplay,Flags
33,HOURLY (ASPHALT),1396,ASPHALT,,HOURLY,ASPHALT (HOURLY),
5,HOURLY (MILL),1227,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
48,HOURLY,943,GENERAL,,HOURLY,GENERAL (HOURLY),
130,HOURLY (ROCK),330,ROCK,,HOURLY,ROCK (HOURLY),
285,HOURLY-TENDER TRLR,211,TENDER TRLR,,HOURLY,TENDER TRLR (HOURLY),
72,HOURLY (MILL AND FILL),169,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
271,HOURLY WORK TIME,153,WORK TIME,,HOURLY,WORK TIME (HOURLY),
343,HOURLY (ROCK/SHOULDERS),109,ROCK/SHOULDERS,,HOURLY,ROCK/SHOULDERS (HOURLY),
59,HOURLY (HAUL BACK),82,HAUL BACK,,HOURLY,HAUL BACK (HOURLY),
452,HOURLY (WORK TIME),81,WORK TIME,,HOURLY,WORK TIME (HOURLY),
51,HOURLY (RAP),69,RAP,,HOURLY,RAP (HOURLY),
341,HOURLY (DITCH CHECK),63,DITCH CHECK,,HOURLY,DITCH CHECK (HOURLY),
456,HOURLY ASPHALT 18-20 Tons,59,ASPHALT,,HOURLY,ASPHALT (HOURLY),
53,HOURLY (MOVING PLANT),52,MOVING PLANT,,HOURLY,MOVING PLANT (HOURLY),
123,HOURLY (BUSTED CONCRETE),46,BUSTED CONCRETE,,HOURLY,BUSTED CONCRETE (HOURLY),
353,HOURLY (DRIVEWAYS),43,DRIVEWAYS,,HOURLY,DRIVEWAYS (HOURLY),
457,HOURLY ASPHALT 21-24 Tons,43,ASPHALT,,HOURLY,ASPHALT (HOURLY),
120,HOURLY (SHOULDERS),42,SHOULDERS,,HOURLY,SHOULDERS (HOURLY),
87,HOURLY (CLEAN UP),37,CLEAN UP,,HOURLY,CLEAN UP (HOURLY),
207,HOURLY (MILL AND ASPHALT),37,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
291,HOURLY EDGE TRTMNT,34,EDGE TRTMNT,,HOURLY,EDGE TRTMNT (HOURLY),
417,HOURLY (HAULING MILLINGS),31,HAULING MILLINGS,,HOURLY,HAULING MILLINGS (HOURLY),
166,HOURLY DIRT,29,DIRT,,HOURLY,DIRT (HOURLY),
86,HOURLY (ASPHALT & ROCK),27,ASPHALT & ROCK,,HOURLY,ASPHALT & ROCK (HOURLY),combo_activity
397,HOURLY (SHOULDERS/DRIVEWAYS),22,SHOULDERS/DRIVEWAYS,,HOURLY,SHOULDERS/DRIVEWAYS (HOURLY),
380,HOURLY (ASPHALT/PLANT DOWN),18,ASPHALT/PLANT DOWN,,HOURLY,ASPHALT/PLANT DOWN (HOURLY),combo_activity
360,HOURLY JOB 23002.2 ACCIDENT 1000002,17,JOB 23002.2 ACCIDENT 1000002,,HOURLY,JOB 23002.2 ACCIDENT 1000002 (HOURLY),
392,HOURLY (CLEAN UP/HAUL BACK),16,CLEAN UP/HAUL BACK,,HOURLY,CLEAN UP/HAUL BACK (HOURLY),
470,HOURLY (HAULING SHINGLES),15,HAULING SHINGLES,,HOURLY,HAULING SHINGLES (HOURLY),
40,HOURLY (HAULBACK),13,HAULBACK,,HOURLY,HAULBACK (HOURLY),
122,HOURLY (PLANTMOVE),13,PLANTMOVE,,HOURLY,PLANTMOVE (HOURLY),
366,HOURLY ROCK (ICM-WP),13,ROCK,ICM-WP,HOURLY,ROCK (ICM-WP) (HOURLY),
270,HRLY MILL (END DUMP),12,MILLING,END DUMP,HOURLY,MILLING (END DUMP) (HOURLY),normalized_to_milling_from_original
43,HOURLY (ROCK HAUL),11,ROCK HAUL,,HOURLY,ROCK HAUL (HOURLY),
133,HOURLY (PATCHES),11,PATCHES,,HOURLY,PATCHES (HOURLY),
211,HOURLY (HAUL OFF),11,HAUL OFF,,HOURLY,HAUL OFF (HOURLY),
365,HOURLY MAN SAND (ICM-WS),10,MAN SAND,ICM-WS,HOURLY,MAN SAND (ICM-WS) (HOURLY),
205,HOURLY (MILL AND ASPH),9,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
58,HOURLY (DITCH REMOVAL),8,DITCH REMOVAL,,HOURLY,DITCH REMOVAL (HOURLY),
60,HOURLY (MILL AND ROCK),8,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
226,HOURLY SKID STEER,8,SKID STEER,,HOURLY,SKID STEER (HOURLY),
475,HOURLY (DIRT HAUL),8,DIRT HAUL,,HOURLY,DIRT HAUL (HOURLY),
52,HOURLY (ASPH),7,ASPHALT,,HOURLY,ASPHALT (HOURLY),
75,HOURLY (BUSTED ASPHALT),7,BUSTED ASPHALT,,HOURLY,BUSTED ASPHALT (HOURLY),
427,HOURLY WORK TIME (PLANT),7,WORK TIME,PLANT,HOURLY,WORK TIME (PLANT) (HOURLY),
376,HOURLY (TRAILER MOVE),6,TRAILER MOVE,,HOURLY,TRAILER MOVE (HOURLY),
385,HOURLY (STOCKPILING ROCK),6,STOCKPILING ROCK,,HOURLY,STOCKPILING ROCK (HOURLY),
351,HOURLY (WASTE ROCK),5,WASTE ROCK,,HOURLY,WASTE ROCK (HOURLY),
408,HOURLY (COLD MIX),5,COLD MIX,,HOURLY,COLD MIX (HOURLY),
499,Hourly(RipRap),5,RIPRAP,,HOURLY,RIPRAP (HOURLY),
66,HOURLY (DIRT HAUL OFF),4,DIRT HAUL OFF,,HOURLY,DIRT HAUL OFF (HOURLY),
