LegacyID,LoadCount,LegacyDescription,ProposedBase,ProposedSource,ProposedService,ProposedDisplay,Flags
5,1227,HOURLY (MILL),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
448,552,SERF LEVELING (FRUITLAND),SURFACE LEVELING,FRUITLAND,,SURFACE LEVELING (FRUITLAND),
72,169,HOURLY (MILL AND FILL),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
506,114,Bedding Material (BW),BEDDING MATERIAL,BW,,BEDDING MATERIAL (BW),
152,73,ASPAHLT,ASPHALT,,,ASPHALT,
106,54,PEA GRAVEL (DEXTER SAND),PEA GRAVEL,DEXTER SAND,,PEA GRAVEL (DEXTER SAND),
472,52,SCREENINGS/TURKEY GRIT (ICM) 1/4" Minus,SCREENINGS/TURKEY GRIT,ICM,,SCREENINGS/TURKEY GRIT (ICM),unhandled_trailing:1/4" Minus
207,37,HOURLY (MILL AND ASPHALT),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
86,27,HOURLY (ASPHALT & ROCK),ASPHALT & ROCK,,HOURLY,ASPHALT & ROCK (HOURLY),combo_activity
49,19,GABIAN STONE,GABION STONE,,,GABION STONE,
380,18,HOURLY (ASPHALT/PLANT DOWN),ASPHALT/PLANT DOWN,,HOURLY,ASPHALT/PLANT DOWN (HOURLY),combo_activity
360,17,HOURLY JOB 23002.2 ACCIDENT 1000002,JOB 23002.2 ACCIDENT 1000002,,HOURLY,JOB 23002.2 ACCIDENT 1000002 (HOURLY),
71,16,AGLIME (STOCKPILE),AGLIME,,,AGLIME,context_tag:STOCKPILE
109,16,1" MINUS (STOCKPILE),1" MINUS,,,1" MINUS,context_tag:STOCKPILE
279,16,SCREENGINGS (ARAB),SCREENINGS,ARAB,,SCREENINGS (ARAB),
432,16,1" BASE (TAX EXEMPT) ICM-Arab,1" BASE,,,1" BASE,context_tag:TAX EXEMPT; unhandled_trailing:ICM-Arab
492,13,AG LIME (MAT, HAUL, SPRD) BaseRock,AG LIME,,HAULING AND SPREADING,AG LIME (HAULING AND SPREADING),trailing_context:BASEROCK
270,12,HRLY MILL (END DUMP),MILLING,END DUMP,HOURLY,MILLING (END DUMP) (HOURLY),normalized_to_milling_from_original
233,10,PEA GRAVEL (BK),PEA GRAVEL,BK,,PEA GRAVEL (BK),
205,9,HOURLY (MILL AND ASPH),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
521,9,ACCIDENT DOWN TIME,ACCIDENT DOWN TIME,,,ACCIDENT DOWN TIME,
26,8,1" CLEAN (STOCKPILE),1" CLEAN,,,1" CLEAN,context_tag:STOCKPILE
60,8,HOURLY (MILL AND ROCK),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
311,8,CREDIT CARD FEE,CREDIT CARD FEE,,,CREDIT CARD FEE,
317,6,SCREEINGS (DON),SCREENINGS,DON,,SCREENINGS (DON),
178,5,PEA GRAVEL,PEA GRAVEL,,,PEA GRAVEL,
180,5,1" MINUS (SHOP),1" MINUS,,,1" MINUS,context_tag:SHOP
348,5,AGLIME (SPREADING ONLY)By The Acre,AGLIME,,SPREADING,AGLIME (SPREADING),billing_note:BY_THE_ACRE
499,5,Hourly(RipRap),RIPRAP,,HOURLY,RIPRAP (HOURLY),
64,4,1" BASE (SHOP),1" BASE,,,1" BASE,context_tag:SHOP
149,4,ASPAHLT SAND (STATE),ASPHALT SAND,,,ASPHALT SAND,context_tag:STATE
155,4,AGLIME (HEARTLAND) (VBR),AGLIME,HEARTLAND,,AGLIME (HEARTLAND),context_tag:VBR
312,4,CC FEE (3%),CC FEE,,,CC FEE,spec_tag:3%
442,4,2" MINUS (STOCKPILE),2" MINUS,,,2" MINUS,context_tag:STOCKPILE
118,3,LANDSCAPE BLEND (BRENDA) 1 1/8,LANDSCAPE BLEND,BRENDA,,LANDSCAPE BLEND (BRENDA),unhandled_trailing:1 1/8
150,3,ASPAHLT SAND (STATE) (BRENDA KAY),ASPHALT SAND,BRENDA KAY,,ASPHALT SAND (BRENDA KAY),context_tag:STATE
364,3,HOURLY  MILL DRIVEWAYS,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
453,3,HOURLY (MILLING-SHOULDERS),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
302,2,ADJUSTMENT-PMT,ADJUSTMENT-PMT,,,ADJUSTMENT-PMT,
346,2,HOURLY (BRIDGE WORK),BRIDGE WORK,,HOURLY,BRIDGE WORK (HOURLY),
497,2,HAULING (ROCK),GENERAL,ROCK,HAULING,GENERAL (ROCK) (HAULING),
27,1,1" CLEAN (SHOP),1" CLEAN,,,1" CLEAN,context_tag:SHOP
91,1,HOURLY (MILL AND INTERSECTIONS),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
156,1,AGLIME (SPREADING AND HAULING) (STRAIGHT),AGLIME,,HAULING AND SPREADING,AGLIME (HAULING AND SPREADING),context_tag:STRAIGHT
163,1,ROCK (STOCKPILE),ROCK,,,ROCK,context_tag:STOCKPILE
183,1,DIRT (SHOP),DIRT,,,DIRT,context_tag:SHOP
199,1,MATERIAL (WS),MATERIAL,WS,,MATERIAL (WS),generic_MATERIAL_with_source
200,1,MATERIAL (BRENDAKAY),MATERIAL,BRENDAKAY,,MATERIAL (BRENDAKAY),generic_MATERIAL_with_source
201,1,MATERIAL (HEARTLAND),MATERIAL,HEARTLAND,,MATERIAL (HEARTLAND),generic_MATERIAL_with_source
202,1,MATERIAL (ARAB),MATERIAL,ARAB,,MATERIAL (ARAB),generic_MATERIAL_with_source
204,1,POTASH (DYERSBURG),POTASH,DYERSBURG,,POTASH (DYERSBURG),
214,1,AGLIME (WS) (SANDP),AGLIME,WS,,AGLIME (WS),context_tag:SANDP
219,1,ASPAHLT (ESS),ASPHALT,ESS,,ASPHALT (ESS),
309,1,ADJ-ERROR,ADJ-ERROR,,,ADJ-ERROR,
323,1,MISTAKE ON WRONG RATE FOR INVOICE#17863,MISTAKE ON WRONG RATE FOR INVOICE#17863,,,MISTAKE ON WRONG RATE FOR INVOICE#17863,
329,1,TRADE (HAY BALES),TRADE,HAY BALES,,TRADE (HAY BALES),
438,1,Pea Gravel (DRTY) DXTR (Material Only),PEA GRAVEL,DRTY,MATERIAL ONLY,PEA GRAVEL (DRTY) (MATERIAL ONLY),
439,1,Pea Gravel (CLN) DXTR SND (Material Only),PEA GRAVEL,CLN,MATERIAL ONLY,PEA GRAVEL (CLN) (MATERIAL ONLY),
443,1,HUB OIL (NAPA),HUB OIL,NAPA,,HUB OIL (NAPA),
473,1,1/4" MINUS (STOCKPILE),1/4" MINUS,,,1/4" MINUS,context_tag:STOCKPILE
507,1,AG LIME (MAT, HAUL, SPRD) STOCKPILE,AG LIME,,HAULING AND SPREADING,AG LIME (HAULING AND SPREADING),trailing_context:STOCKPILE
516,1,COW MANURE,COW MANURE,,,COW MANURE,
519,1,HOURLY (ASPHALT/CLEAN UP),ASPHALT/CLEAN UP,,HOURLY,ASPHALT/CLEAN UP (HOURLY),combo_activity
