LegacyID,LoadCount,LegacyDescription,ProposedBase,Source,Service,ProposedDisplay,Flags
38,30751,ASPHALT,ASPHALT,,,ASPHALT,
6,1698,1" MINUS (WS),1" MINUS,WS,,1" MINUS (WS),
33,1396,HOURLY (ASPHALT),ASPHALT,,HOURLY,ASPHALT (HOURLY),
42,1266,WAITING TIME,WAITING TIME,,,WAITING TIME,
5,1227,HOURLY (MILL),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
409,1146,ASPHALT SAND (BRENDA KAY),ASPHALT SAND,BRENDA KAY,,ASPHALT SAND (BRENDA KAY),
116,1050,ASPHALT (FRUITLAND),ASPHALT,FRUITLAND,,ASPHALT (FRUITLAND),
48,943,HOURLY,GENERAL,,HOURLY,GENERAL (HOURLY),
37,898,DIRT HAULING,DIRT,,HAULING,DIRT (HAULING),
437,876,1/2" CLEAN (ICM-DONIPHAN),1/2" CLEAN,ICM-DONIPHAN,,1/2" CLEAN (ICM-DONIPHAN),
461,833,SURF. LEVELING,SURFACE LEVELING,,,SURFACE LEVELING,
17,790,1" CLEAN (WS),1" CLEAN,WS,,1" CLEAN (WS),
63,555,ASPHALT (ROBERTSON),ASPHALT,ROBERTSON,,ASPHALT (ROBERTSON),
448,552,SERF LEVELING (FRUITLAND),SURFACE LEVELING,FRUITLAND,,SURFACE LEVELING (FRUITLAND),
508,446,1" WASHED GRAVEL (ICM DONIPHAN),1" WASHED GRAVEL,ICM DONIPHAN,,1" WASHED GRAVEL (ICM DONIPHAN),
282,418,WASHED SAND (DONIPHAN),WASHED SAND,DONIPHAN,,WASHED SAND (DONIPHAN),
218,415,1" BASE (ARAB),1" BASE,ARAB,,1" BASE (ARAB),
336,393,SCREENING (DONIPHAN),SCREENING,DONIPHAN,,SCREENING (DONIPHAN),
338,393,SCREENINGS (DONIPHAN),SCREENINGS,DONIPHAN,,SCREENINGS (DONIPHAN),
134,387,AGLIME (HEARTLAND),AGLIME,HEARTLAND,,AGLIME (HEARTLAND),
393,373,3/4" CLEAN (BLUEWING-PB),3/4" CLEAN,BLUEWING-PB,,3/4" CLEAN (BLUEWING-PB),
307,351,1" CLN (ICM-DONIPHAN),1" CLN,ICM-DONIPHAN,,1" CLN (ICM-DONIPHAN),
3,340,AGLIME (BASEROCK),AGLIME,BASEROCK,,AGLIME (BASEROCK),
147,332,TYPE 1/5 BASE (WS),TYPE 1/5 BASE,WS,,TYPE 1/5 BASE (WS),
130,330,HOURLY (ROCK),ROCK,,HOURLY,ROCK (HOURLY),
494,318,ASPHALT (ROBERTSON),ASPHALT,ROBERTSON,,ASPHALT (ROBERTSON),
315,299,1/2" CLEAN (DONIPHAN),1/2" CLEAN,DONIPHAN,,1/2" CLEAN (DONIPHAN),
20,296,2" MINUS (WS),2" MINUS,WS,,2" MINUS (WS),
138,294,RAP,RAP,,,RAP,
465,288,1/2" MINUS (ICM-Doniphan),1/2" MINUS,ICM-DONIPHAN,,1/2" MINUS (ICM-DONIPHAN),
159,274,1" WHITE COMM BASE (WS),1" WHITE COMM BASE,WS,,1" WHITE COMM BASE (WS),
515,251,3/4" CLEAN (ICM-DONIPHAN),3/4" CLEAN,ICM-DONIPHAN,,3/4" CLEAN (ICM-DONIPHAN),
386,249,TYPE 5 BASE (CAPITAL),TYPE 5 BASE,CAPITAL,,TYPE 5 BASE (CAPITAL),
15,231,TOPSOIL,TOPSOIL,,,TOPSOIL,
383,231,MFG SAND (IRON MNT.),MFG SAND,IRON MNT.,,MFG SAND (IRON MNT.),
394,229,3/8" CLEAN (BLUEWING PB),3/8" CLEAN,BLUEWING PB,,3/8" CLEAN (BLUEWING PB),
285,211,HOURLY-TENDER TRLR,TENDER TRLR,,HOURLY,TENDER TRLR (HOURLY),
480,204,CLASS 7 BASE (BW),CLASS 7 BASE,BW,,CLASS 7 BASE (BW),
13,199,1/2" MINUS (WS),1/2" MINUS,WS,,1/2" MINUS (WS),
339,194,3/4" CLEAN (DONIPHAN),3/4" CLEAN,DONIPHAN,,3/4" CLEAN (DONIPHAN),
283,192,TRAP SAND (BUTLER),TRAP SAND,BUTLER,,TRAP SAND (BUTLER),
111,184,3" MINUS (WS),3" MINUS,WS,,3" MINUS (WS),
367,184,TYPE 5 BASE PERRYVILLE,TYPE 5 BASE PERRYVILLE,,,TYPE 5 BASE PERRYVILLE,
490,180,TYPE 1/5 BASE (BW),TYPE 1/5 BASE,BW,,TYPE 1/5 BASE (BW),
476,174,3/8" MINUS (BLUEWING-PB),3/8" MINUS,BLUEWING-PB,,3/8" MINUS (BLUEWING-PB),
72,169,HOURLY (MILL AND FILL),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
23,165,1" MINUS (CC),1" MINUS,CC,,1" MINUS (CC),
