ProposedDescription,TotalLoadCount,ExampleLegacyDescriptions,ClientAction,Notes
ASPHALT,32803,ASPHALT | ASPHALT (FRUITLAND) | ASPHALT (ROBERTSON),KEEP,
"1"" MINUS",2308,"1"" MINUS (WS) | 1"" MINUS (CC) | 1"" MINUS (FISCHER QUARRY)",KEEP,
ASPHALT (HOURLY),1508,HOURLY (ASPHALT) | HOURLY ASPHALT 18-20 Tons | HOURLY ASPHALT 21-24 Tons,KEEP,
MILLING (HOURLY),1500,HOURLY (MILL) | HOURLY (MILL AND FILL) | HOURLY (MILL AND ASPHALT),KEEP,
"1/2"" CLEAN",1438,"1/2"" CLEAN (ICM-DONIPHAN) | 1/2"" CLEAN (DONIPHAN) | 1/2"" CLEAN (WS)",KEEP,
SURFACE LEVELING,1385,SURF. LEVELING | SERF LEVELING (FRUITLAND),KEEP,
"1"" CLEAN",1314,"1"" CLEAN (WS) | 1"" CLN (ICM-DONIPHAN) | 1"" CLEAN (CC)",KEEP,
WAITING TIME,1266,WAITING TIME,KEEP,
ASPHALT SAND,1153,ASPHALT SAND (BRENDA KAY) | ASPAHLT SAND (STATE) | ASPAHLT SAND (STATE) (BRENDA KAY),KEEP,
AGLIME,992,AGLIME (HEARTLAND) | AGLIME (BASEROCK) | AGLIME (WS),KEEP,
GENERAL (HOURLY),943,HOURLY,KEEP,
DIRT (HAULING),904,DIRT HAULING | LOADING DIRT,KEEP,
"3/4"" CLEAN",833,"3/4"" CLEAN (BLUEWING-PB) | 3/4"" CLEAN (ICM-DONIPHAN) | 3/4"" CLEAN (DONIPHAN)",KEEP,
SCREENINGS,814,SCREENING (DONIPHAN) | SCREENINGS (DONIPHAN) | SCREENGINGS (ARAB),KEEP,
"1/2"" MINUS",685,"1/2"" MINUS (ICM-Doniphan) | 1/2"" MINUS (WS) | 1/2"" MINUS (BLUEWING PB)",KEEP,
"1"" BASE",655,"1"" BASE (ARAB) | 1"" BASE (VB) | 1"" BASE (WEST PLAINS)",KEEP,
TYPE 5 BASE,642,TYPE 5 BASE (CAPITAL) | TYPE V BASE (ICM-W. Plains) | TYPE 5 (BASE ROCK),KEEP,
TYPE 1/5 BASE,587,TYPE 1/5 BASE (WS) | TYPE 1/5 BASE (BW) | TYPE 1/5 BASE (CC),KEEP,
"1"" WASHED GRAVEL",446,"1"" WASHED GRAVEL (ICM DONIPHAN)",KEEP,
WASHED SAND,418,WASHED SAND (DONIPHAN),KEEP,
