Name,ShortName,TotalLoadCount,AliasTags,ClientAction,Notes
WS,WS,5036,WS | WS & STRACK,KEEP,
ICM Doniphan,ICM-DON,2294,ICM-DONIPHAN | ICM DONIPHAN | DONIPHAN/ICM | DON | ICM-DNPHN,KEEP,
Bluewing PB,BW-PB,1796,BLUEWING-PB | BW | BLUEWING PB,KEEP,
Fruitland,FRUIT,1744,FRUITLAND | FRUITLAND ASPHALT,KEEP,
Doniphan,DON,1697,DONIPHAN,KEEP,
Brenda Kay,BK,1195,BRENDA KAY | BK | BRENDAKAY | BRENDA,KEEP,
Robertson,ROB,873,ROBERTSON,KEEP,
Arab,ARAB,672,ARAB | ICM-ARAB,KEEP,
Base Rock,BR,516,BASEROCK | BASE ROCK | BASE ROCK FRT.LND. | BR,KEEP,
CC,CC,478,CC | CC-VB,KEEP,
Iron Mountain,IM,478,IRON MNT. | IRON MTN,KEEP,
Heartland,HL,474,HEARTLAND | HL,KEEP,
Dexter,DEX,269,DEXTER | DEXTER SAND,KEEP,
Butler,BUTLER,257,BUTLER | BUTLER HILL | BUTLERHILL,KEEP,
Capital,CAP,252,CAPITAL,KEEP,
West Plains / ICM,WP,248,ICM-W. PLAINS | WEST PLAINS | WP | ICM-WP,KEEP,
SEMO,SEMO,195,SEMO | SEMO CONCRETE | SEMO STONE | SEMO LAND DESIGNS,KEEP,
Fischer Quarry,FISCHER,166,FISCHER QUARRY | FISCHER,KEEP,
Bluewing VB,BW-VB,161,VB | VBS | VB BLUEWING | BLUEWING | BLUEWING-VB,KEEP,
Colt,COLT,103,COLT | COLT R & L,KEEP,
Peachstreet,PEACH,80,PEACHSTREET | PB,KEEP,
Farmington,FARM,77,FARMINGTON,KEEP,
Jackson Quarry,JQ,72,JACKSON QUARRY,KEEP,
ICM,ICM,65,ICM,KEEP,
Cape Quarry,CQ,61,CQ | CAPE QUARRY | CAP QUARRIES,KEEP,
Mansfield,MANS,58,MANSFIELD,KEEP,
Delta,DELTA,47,DELTA | DELTA DEXTER,KEEP,
ICM Houston,ICM-HOU,33,ICM-HOUSTON,KEEP,
Cane Creek,CANE,28,CANE CREEK,KEEP,
Strack,STRACK,14,STRACK | STRACK-RED,KEEP,
End Dump,ED,12,END DUMP,KEEP,
ICM WS,ICM-WS,10,ICM-WS,KEEP,
Willow,WILLOW,10,WILLOW,KEEP,
Scaggs,SCAGGS,9,SCAGGS,REVIEW,
Sand Pit,PIT,8,PITS | SAND PIT,REVIEW,
Mineral Area,MIN,7,MINERAL AREA,REVIEW,
Plant,PLANT,7,PLANT,REVIEW,
Prairie State,PS,5,PRAIRIE STATE,REVIEW,
Gads Hill,GH,4,GH | GADS HILL,REVIEW,
Ellsinore,ELL,3,ELLSINORE,REVIEW,
Malden,MAL,3,MALDEN,REVIEW,
Central Stone,CS,2,CENTRAL STONE | CS,REVIEW,
Per Kyle,KYLE,2,PER KYLE,REVIEW,
Rock (tag),ROCK,2,ROCK,REVIEW,
Bluewing Doniphan,BW-DON,1,BLUEWING-DON,REVIEW,
CertainTeed,CT,1,CERTAINTEED,REVIEW,
Dexter Clean grade,CLN,1,CLN,REVIEW,
Dexter Dirty grade,DRTY,1,DRTY,REVIEW,
Dyersburg,DYER,1,DYERSBURG,REVIEW,
ESS,ESS,1,ESS,REVIEW,
Grays Point,GP,1,GRAY'S POINT,REVIEW,
Hay Bales,HAY,1,HAY BALES,REVIEW,
Heavy Haul,HH,1,HEAVY HAUL,REVIEW,
Napa,NAPA,1,NAPA,REVIEW,
Trap,TRAP,1,TRAP,REVIEW,
